Type_of_Renewable_Energy,Installed_Capacity_MW,Energy_Production_MWh,Energy_Consumption_MWh,Energy_Storage_Capacity_MWh,Storage_Efficiency_Percentage,Grid_Integration_Level,Initial_Investment_USD,Funding_Sources,Financial_Incentives_USD,GHG_Emission_Reduction_tCO2e,Air_Pollution_Reduction_Index,Jobs_Created
5,529.0615884,112324.2419,239191.9664,6499.490481,,2,412263057.4,1,7091328.937,23717.66856,57.54591164,4765
5,52.53843502,,260025.2395,7735.896754,61.56113489,3,108831107.4,1,17429287.2,45213.90579,25.06816607,162
2,759.0779959,78570.62109,377572.8893,9601.598532,69.44517198,4,,3,19956029.77,26311.99811,28.78617576,3965
5,551.550595,220118.5484,,7286.055258,93.10703619,1,26787058.41,1,6133335.523,24894.67836,65.51383909,1057
4,,92121.20152,91845.75705,7569.923862,74.60808121,2,178032740,2,17526052.27,48324.87314,51.47209488,4222
6,349.1203558,103507.7248,6686.591669,5103.533405,,2,82874466.91,2,14091928.54,21295.28158,99.85726776,806
1,245.0947817,273130.4128,363935.132,2755.676774,,2,387023796.3,2,1451854.086,32456.8292,55.71184112,3881
7,,372472.3166,139407.5679,1938.154116,68.50416437,3,72079304.43,1,2531168.958,27375.11959,61.3918823,2644
4,288.0510871,350492.8739,279704.0665,3483.497892,,1,256608948.8,1,14060694.59,7715.209842,95.58582629,1086
2,70.72719757,,385899.0456,7465.763641,67.94965664,1,30652154.56,2,18819307.44,35960.29128,71.81377709,1584
5,173.3734828,230714.5388,127797.6901,2763.192096,99.16665858,2,,1,352595.3404,13974.58581,61.41282443,872
7,720.849517,,431470.9594,5494.196613,92.38233081,2,490340359.3,2,7371391.408,2960.940682,43.10674039,1517
4,496.1021647,451693.8927,349150.049,,57.70919341,2,245064083.9,2,1329371.378,35815.63463,41.11082246,278
3,284.9766921,,139412.0596,3309.073652,60.07295915,4,361290861.4,2,13705513.69,19152.23653,1.656759019,1955
7,605.0147401,333320.1961,353401.643,5238.73937,,2,409504866.2,3,8135214.018,12233.73219,12.48919115,1918
2,100.2683316,,126049.0219,8838.238542,99.31827806,1,382641761.5,1,3249707.66,31575.1133,39.71603717,728
7,742.7373581,455186.2902,147269.2502,9715.388991,93.16605117,,429556596.8,3,238146.7048,20684.64182,71.07238757,472
1,437.8750288,,95086.80736,5337.336591,72.90253295,3,486164401.1,3,8602228.375,31088.30889,6.777921784,3209
2,,172378.0533,76794.88451,8336.606067,56.43854353,1,319204795.4,1,7193881.827,28433.00898,15.44729157,3736
2,666.1452274,133162.3387,289131.3488,2316.998028,,4,149864828.5,1,9097246.935,5898.942683,78.38074616,4760
3,,222436.5643,334814.9657,3691.504781,65.2002528,1,27865024.5,1,5598280.703,29611.95314,44.70389447,737
5,438.3331109,,53052.37919,9273.207049,68.61771967,1,139684923.9,3,1932688.213,264.1769476,91.54844912,816
